Zeit [h]	Außentemperatur [C]	Variante 1 Raum A [C]	Variante 2 Raum A [C]	Variante 3 Raum A [C]	Variante 3 Raum B [C]	Variante 4 Raum A [C]	Variante 4 Raum B [C]
484	30	29.4477	23.9232	0	0	0	0
485	30	29.4524	23.7355	0	0	0	0
486	30	29.457	23.5561	0	0	0	0
487	30	29.4616	23.3849	0	0	0	0
488	30	29.4661	23.2218	0	0	0	0
489	30	29.4707	23.1359	0	0	0	0
490	30	29.4751	23.1836	0	0	0	0
491	30	29.4796	23.256	0	0	0	0
492	30	29.484	23.4267	0	0	0	0
493	30	29.4883	23.6608	0	0	0	0
494	30	29.4927	23.9233	0	0	0	0
495	30	29.497	24.194	0	0	0	0
496	30	29.5012	24.4625	0	0	0	0
497	30	29.5054	24.7237	0	0	0	0
498	30	29.5096	24.9752	0	0	0	0
499	30	29.5138	25.1466	0	0	0	0
500	30	29.5179	25.181	0	0	0	0
501	30	29.522	25.1872	0	0	0	0
502	30	29.526	25.0913	0	0	0	0
503	30	29.53	24.9286	0	0	0	0
504	30	29.534	24.7341	0	0	0	0
505	30	29.5379	24.5282	0	0	0	0
506	30	29.5418	24.3213	0	0	0	0
507	30	29.5457	24.1188	0	0	0	0
508	30	29.5496	23.9232	0	0	0	0
509	30	29.5534	23.7355	0	0	0	0
510	30	29.5572	23.5561	0	0	0	0
511	30	29.5609	23.385	0	0	0	0
512	30	29.5646	23.2219	0	0	0	0
513	30	29.5683	23.1359	0	0	0	0
514	30	29.572	23.1837	0	0	0	0
515	30	29.5756	23.2561	0	0	0	0
516	30	29.5792	23.4268	0	0	0	0
517	30	29.5827	23.6609	0	0	0	0
518	30	29.5863	23.9234	0	0	0	0
519	30	29.5898	24.1941	0	0	0	0
520	30	29.5932	24.4625	0	0	0	0
521	30	29.5967	24.7237	0	0	0	0
522	30	29.6001	24.9752	0	0	0	0
523	30	29.6035	25.1467	0	0	0	0
524	30	29.6068	25.1809	0	0	0	0
525	30	29.6101	25.187	0	0	0	0
526	30	29.6134	25.0913	0	0	0	0
527	30	29.6167	24.9286	0	0	0	0
528	30	29.62	24.734	0	0	0	0
529	30	29.6232	24.5281	0	0	0	0
530	30	29.6264	24.3213	0	0	0	0
531	30	29.6295	24.1188	0	0	0	0
532	30	29.6327	23.9231	0	0	0	0
533	30	29.6358	23.7355	0	0	0	0
534	30	29.6388	23.5561	0	0	0	0
535	30	29.6419	23.385	0	0	0	0
536	30	29.6449	23.2219	0	0	0	0
537	30	29.6479	23.1359	0	0	0	0
538	30	29.6509	23.1837	0	0	0	0
539	30	29.6539	23.2561	0	0	0	0
540	30	29.6568	23.4267	0	0	0	0
541	30	29.6597	23.6609	0	0	0	0
542	30	29.6626	23.9234	0	0	0	0
543	30	29.6654	24.1941	0	0	0	0
544	30	29.6683	24.4625	0	0	0	0
545	30	29.6711	24.7237	0	0	0	0
546	30	29.6739	24.9752	0	0	0	0
547	30	29.6766	25.1466	0	0	0	0
548	30	29.6793	25.181	0	0	0	0
549	30	29.6821	25.1873	0	0	0	0
550	30	29.6848	25.0913	0	0	0	0
551	30	29.6874	24.9286	0	0	0	0
552	30	29.6901	24.7341	0	0	0	0
553	30	29.6927	24.5282	0	0	0	0
554	30	29.6953	24.3213	0	0	0	0
555	30	29.6979	24.1188	0	0	0	0
556	30	29.7004	23.9232	0	0	0	0
557	30	29.703	23.7355	0	0	0	0
558	30	29.7055	23.5561	0	0	0	0
559	30	29.708	23.385	0	0	0	0
560	30	29.7104	23.2218	0	0	0	0
561	30	29.7129	23.1359	0	0	0	0
562	30	29.7153	23.1837	0	0	0	0
563	30	29.7177	23.2561	0	0	0	0
564	30	29.7201	23.4267	0	0	0	0
565	30	29.7225	23.6609	0	0	0	0
566	30	29.7248	23.9234	0	0	0	0
567	30	29.7271	24.1941	0	0	0	0
568	30	29.7295	24.4625	0	0	0	0
569	30	29.7317	24.7237	0	0	0	0
570	30	29.734	24.9752	0	0	0	0
571	30	29.7363	25.1467	0	0	0	0
572	30	29.7385	25.1809	0	0	0	0
573	30	29.7407	25.187	0	0	0	0
574	30	29.7429	25.0913	0	0	0	0
575	30	29.7451	24.9286	0	0	0	0
576	30	29.7472	24.7341	0	0	0	0
577	30	29.7494	24.5281	0	0	0	0
578	30	29.7515	24.3213	0	0	0	0
579	30	29.7536	24.1188	0	0	0	0
580	30	29.7557	23.9231	0	0	0	0
581	30	29.7577	23.7355	0	0	0	0
582	30	29.7598	23.5561	0	0	0	0
583	30	29.7618	23.385	0	0	0	0
584	30	29.7638	23.2219	0	0	0	0
585	30	29.7658	23.1359	0	0	0	0
586	30	29.7678	23.1837	0	0	0	0
587	30	29.7698	23.2559	0	0	0	0
588	30	29.7717	23.4267	0	0	0	0
589	30	29.7737	23.6608	0	0	0	0
590	30	29.7756	23.9233	0	0	0	0
591	30	29.7775	24.194	0	0	0	0
592	30	29.7794	24.4625	0	0	0	0
593	30	29.7812	24.7236	0	0	0	0
594	30	29.7831	24.9751	0	0	0	0
595	30	29.7849	25.1466	0	0	0	0
596	30	29.7867	25.181	0	0	0	0
597	30	29.7885	25.187	0	0	0	0
598	30	29.7903	25.0913	0	0	0	0
599	30	29.7921	24.9286	0	0	0	0
600	30	29.7939	24.7341	0	0	0	0
601	30	29.7956	24.5281	0	0	0	0
602	30	29.7973	24.3214	0	0	0	0
603	30	29.7991	24.119	0	0	0	0
604	30	29.8008	23.9232	0	0	0	0
605	30	29.8024	23.7354	0	0	0	0
606	30	29.8041	23.556	0	0	0	0
607	30	29.8058	23.3849	0	0	0	0
608	30	29.8074	23.2218	0	0	0	0
609	30	29.809	23.1358	0	0	0	0
610	30	29.8107	23.1836	0	0	0	0
611	30	29.8123	23.2559	0	0	0	0
612	30	29.8138	23.4267	0	0	0	0
613	30	29.8154	23.6608	0	0	0	0
614	30	29.817	23.9233	0	0	0	0
615	30	29.8185	24.1939	0	0	0	0
616	30	29.8201	24.4625	0	0	0	0
