Zeit [min]	Potsdam Altitude [Deg]	Potsdam Azimuth [Deg]	Shanghai Altitude [Deg]	Shanghai Azimuth [Deg]	Kaxgar Altitude [Deg]	Kaxgar Azimuth [Deg]	Singapur Altitude [Deg]	Singapur Azimuth [Deg]	Lima Altitude [Deg]	Lima Azimuth [Deg]	Denver Altitude [Deg]	Denver Azimuth [Deg]	Barrow Altitude [Deg]	Barrow Azimuth [Deg]	Melbourne Altitude [Deg]	Melbourne Azimuth [Deg]
427090	19.45728399	216.0386502	33.95963618	226.4568153	38.51743853	170.4654933	65.97267666	237.0132346	56.43557707	266.8446662	28.30944741	221.5090181	6.339248967	194.4378424	51.71477699	304.8725679	
427091	19.36701441	216.280021	33.80408786	226.6847946	38.54865183	170.7761192	65.76252694	237.3212068	56.19141004	266.8125463	28.18156593	221.7459626	6.318855932	194.6832514	51.5523012	304.5771095	
427092	19.27622716	216.5210392	33.64795734	226.9117816	38.57883165	171.0870443	65.5516594	237.6237493	55.94725074	266.7804463	28.05309266	221.9822105	6.298130823	194.9286223	51.38924757	304.2835313	
427093	19.18492458	216.7617047	33.4912496	227.1377815	38.60797612	171.3982591	65.34009249	237.9209833	55.70309923	266.7483648	27.9240315	222.2177636	6.277074067	195.1739545	51.22562404	303.991815	
427094	19.09310904	217.0020174	33.33396957	227.3627994	38.63608344	171.7097541	65.12784412	238.2130271	55.45895559	266.7163002	27.79438638	222.4526236	6.2556861	195.4192474	51.06143846	303.7019426	
427095	19.00078291	217.241977	33.17612216	227.5868404	38.66315184	172.0215194	64.91493161	238.4999961	55.21481989	266.684251	27.66416117	222.6867923	6.233967362	195.6645006	50.89669856	303.4138959	
427096	18.90794855	217.4815834	33.01771225	227.8099097	38.68917964	172.3335454	64.70137177	238.7820027	54.9706922	266.6522159	27.53335975	222.9202715	6.211918302	195.9097136	50.73141198	303.1276568	
427097	18.81460832	217.7208366	32.85874465	228.0320126	38.71416522	172.6458222	64.48718091	239.0591568	54.72657261	266.6201933	27.40198599	223.1530631	6.189539374	196.1548857	50.56558628	302.8432075	
427098	18.72076461	217.9597365	32.69922417	228.2531543	38.738107	172.9583398	64.27237482	239.3315656	54.48246117	266.5881818	27.27004374	223.3851689	6.166831038	196.4000165	50.39922889	302.5605299	
427099	18.62641977	218.1982831	32.53915556	228.4733401	38.76100348	173.2710884	64.05696883	239.5993333	54.23835797	266.5561803	27.13753682	223.6165911	6.143793763	196.6451055	50.23234715	302.2796064	
427100	18.53157618	218.4364764	32.37854356	228.6925752	38.78285323	173.5840579	63.84097781	239.862562	53.99426308	266.5241872	27.00446907	223.8473314	6.120428022	196.8901521	50.06494833	302.0004193	
427101	18.43623622	218.6743165	32.21739285	228.9108651	38.80365485	173.8972383	63.62441616	240.1213508	53.75017658	266.4922013	26.87084428	224.0773922	6.096734296	197.1351559	49.89703958	301.7229508	
427102	18.34040226	218.9118034	32.05570808	229.128215	38.82340706	174.2106194	63.40729787	240.3757968	53.50609853	266.4602213	26.73666624	224.3067753	6.072713072	197.3801162	49.72862796	301.4471836	
427103	18.24407667	219.1489371	31.89349388	229.3446302	38.84210858	174.524191	63.1896365	240.6259943	53.26202902	266.428246	26.60193873	224.535483	6.048364843	197.6250327	49.55972044	301.1731001	
427104	18.14726184	219.385718	31.73075482	229.5601163	38.85975824	174.8379429	62.97144523	240.8720353	53.01796811	266.3962741	26.46666551	224.7635174	6.023690109	197.8699049	49.3903239	300.9006831	
427105	18.04996014	219.622146	31.56749546	229.7746786	38.87635492	175.1518649	62.75273682	241.1140097	52.7739159	266.3643043	26.33085032	224.9908808	5.998689376	198.1147321	49.22044514	300.6299153	
427106	17.95217394	219.8582215	31.4037203	229.9883224	38.89189756	175.4659466	62.53352367	241.352005	52.52987244	266.3323356	26.19449688	225.2175753	5.973363157	198.3595141	49.05009085	300.3607796	
427107	17.85390563	220.0939446	31.23943381	230.2010532	38.90638518	175.7801777	62.31381781	241.5861066	52.28583782	266.3003667	26.05760892	225.4436034	5.94771197	198.6042502	48.87926765	300.0932591	
427108	17.75515759	220.3293155	31.07464045	230.4128765	38.91981684	176.0945478	62.09363092	241.8163975	52.04181211	266.2683965	25.92019012	225.6689672	5.921736341	198.84894	48.70798207	299.8273368	
427109	17.6559322	220.5643346	30.90934462	230.6237977	38.93219171	176.4090464	61.87297435	242.042959	51.79779539	266.2364238	25.78224416	225.8936693	5.895436801	199.093583	48.53624053	299.5629959	
427110	17.55623182	220.7990021	30.74355068	230.8338223	38.94350898	176.7236631	61.6518591	242.26587	51.55378774	266.2044476	25.64377471	226.1177119	5.868813887	199.3381788	48.3640494	299.3002199	
